# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1776452063371000000,1776452068951000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1776452063371000000,1776452068951000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1776452063371000000,1776452068951000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1776452063371000000,1776452068951000000,0
workspaceModel.mutableEntityStorage.entities.ms,1776452063371000000,1776452068951000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1776452063371000000,1776452068951000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1776452063371000000,1776452068951000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1776452063371000000,1776452068951000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1776452063371000000,1776452068951000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1776452063371000000,1776452068951000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1776452063371000000,1776452068951000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1776452063371000000,1776452068951000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1776452063371000000,1776452068951000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1776452063371000000,1776452068951000000,0
workspaceModel.save.cache.to.file.ms,1776452063371000000,1776452068951000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1776452063371000000,1776452068951000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1776452063371000000,1776452068951000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1776452063371000000,1776452068951000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1776452063371000000,1776452068951000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1776452063371000000,1776452068951000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1776452063371000000,1776452068951000000,0
workspaceModel.load.cache.from.file.ms,1776452063371000000,1776452068951000000,0
workspaceModel.mutableEntityStorage.add.diff.ms,1776452063371000000,1776452068951000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1776452063371000000,1776452068951000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1776452063371000000,1776452068951000000,0
workspaceModel.replace.project.model.ms,1776452063371000000,1776452068951000000,0
workspaceModel.updates.count,1776452063371000000,1776452068951000000,0
workspaceModel.initializing.ms,1776452063371000000,1776452068951000000,0
workspaceModel.collect.changes.ms,1776452063371000000,1776452068951000000,0
workspaceModel.pre.handlers.ms,1776452063371000000,1776452068951000000,0
workspaceModel.loading.from.cache.ms,1776452063371000000,1776452068951000000,6
workspaceModel.to.snapshot.ms,1776452063371000000,1776452068951000000,0
workspaceModel.updates.ms,1776452063371000000,1776452068951000000,0
workspaceModel.update.unloaded.entities.ms,1776452063371000000,1776452068951000000,0
workspaceModel.check.recursive.update.ms,1776452063371000000,1776452068951000000,0
workspaceModel.loading.total.ms,1776452063371000000,1776452068951000000,9
workspaceModel.updates.precise.ms,1776452063371000000,1776452068951000000,0
workspaceModel.init.bridges.ms,1776452063371000000,1776452068951000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1776452063371000000,1776452068951000000,178244
NonBlockingReadAction.failedExecutionTimeUs,1776452063371000000,1776452068951000000,0
AWTEventQueue.dispatchTimeTotalNS,1776452063371000000,1776452068951000000,4700661390
NonBlockingReadAction.finalizedExecutionsCount,1776452063371000000,1776452068951000000,15
NonBlockingReadAction.failedExecutionsCount,1776452063371000000,1776452068951000000,0
FileNameCache.totalMisses,1776452063371000000,1776452068951000000,12
FileNameCache.fastMisses,1776452063371000000,1776452068951000000,12
FileNameCache.queries,1776452063371000000,1776452068951000000,246
DirectByteBufferAllocator.misses,1776452063371000000,1776452068951000000,226
FilePageCache.disposedBuffers,1776452063371000000,1776452068951000000,229
FilePageCache.uncachedFileAccess,1776452063371000000,1776452068951000000,361
StorageLockContext.competingThreads.90P,1776452063371000000,1776452068951000000,0
DirectByteBufferAllocator.hits,1776452063371000000,1776452068951000000,3
FilePageCache.pageFastCacheHits,1776452063371000000,1776452068951000000,15655
StorageLockContext.competingThreads.max,1776452063371000000,1776452068951000000,0
DirectByteBufferAllocator.reclaimed,1776452063371000000,1776452068951000000,46
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1776452063371000000,1776452068951000000,52445184
FilePageCache.maxRegisteredFiles,1776452063371000000,1776452068951000000,834
FilePageCache.pageHits,1776452063371000000,1776452068951000000,0
DirectByteBufferAllocator.disposed,1776452063371000000,1776452068951000000,183
FilePageCache.capacityInBytes,1776452063371000000,1776452068951000000,524288000
FilePageCache.totalPageLoadsUs,1776452063371000000,1776452068951000000,65434
FilePageCache.totalPageDisposalsUs,1776452063371000000,1776452068951000000,697
FilePageCache.maxCacheSizeInBytes,1776452063371000000,1776452068951000000,244334592
StorageLockContext.competingThreads.avg,1776452063371000000,1776452068951000000,0.0
FilePageCache.pageLoads,1776452063371000000,1776452068951000000,229
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1776452063371000000,1776452068951000000,52445184
FilePageCache.pageLoadsAboveSizeThreshold,1776452063371000000,1776452068951000000,0
